S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
14,Kolar Rural PS,0080/2024,20-02-2024,"IPC 1860 U/s: 279,388",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,19-02-2024,21:00,"In front of R.V collage,Kolar-Bangarapete road",RURAL,SH,T/W,KSRTC BUS,,,26/26,,,,,,46,,YES,YES,GOOD
15,Kolar Rural PS,0093/2024,29-02-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,27-02-2024,18:30,Near Ammerahalli village,RURAL,SH,PEDESTRIAN,T/W,,,,,56,,56,,,,YES,YES,GOOD
16,Kolar Traffic PS,0011/2024,18-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,18-02-2024,07:12,BASAVANTH GATE.KOLAR,URBAN,NH,PEDESTRIAN,CAR,,,,60,,,,,38,,YES,YES,GOOD
17,Kolar Traffic PS,0012/2024,20-02-2024,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-02-2024,18:30,NEAR PAVAN COLLEGE,URBAN,NH,CAR,CAR,,,,,,,,,35,,NOT KNOWN,NOT KNOWN,GOOD
18,Kolar Traffic PS,0014/2024,24-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-02-2024,10:48,MRF SHOW ROOM.BETHMANGALA BRIDGE.KOLAR.,URBAN,NH,PEDESTRIAN,T/W,,,,,48,,,,,,YES,YES,GOOD
19,Kolar Traffic PS,0017/2024,25-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,24-02-2024,07:12,GUPTA SCHOOL.KOLAR,URBAN,MDR, T/W,TRACTOR,,,,,54,,,,51,,YES,YES,GOOD
20,Malur PS,0027/2024,08-02-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-02-2024,14:30,Byrasandra masthi road malur taluk,RURAL,MDR,T/W,car,,,60,,,,        ,,23,,YES,YES,GOOD
21,Malur PS,0028/2024,09-02-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,29-01-2024,12:00,Dommarahalli rajappa land near malur taluk,RURAL,V/R,T/W,Tractor,58,,,,,,,,38,,YES,YES,GOOD
22,Malur PS,0029/2024,10-02-2024,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,07-02-2024,14:30,SFS School near kolar rod malur town,RURAL,MDR,T/W,Bus,,,,,,,,,29,,YES,YES,GOOD
23,Malur PS,0030/2024,11-02-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15-01-2024,09:35,Tekal malur road malur taluk,RURAL,V/R,T/W,T/W,30,,,,,,,,30,,YES,YES,GOOD
24,Malur PS,0032/2024,14-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14-01-2024,11:00,Sushil juwelery malur town,URBAN,MDR,T/W,T/W,,,,,26,,,,22,,YES,YES,GOOD
25,Malur PS,0036/2024,23-02-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-02-2024,07:00,Araleri Doddamalle road malur town,RURAL,V/R,T/W,CAR,,,,,40,,,,39,,YES,YES,CLOUDY
26,Malur PS,0037/2024,26-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-02-2024,16:10,Masthi malur road DN doddi cross malur taluk,RURAL,V/R,T/W,T/W,,,,,32,,,,30,,YES,YES,GOOD
27,Masti PS,0040/2024,26-02-2024,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,25-02-2024,19:30,"MITTAGANAHALLI, BANGAR PET- MALUR  ROAD ",RURAL,SH,T/W,CAR,40,,,,,,,,,,NOT KNOWN,NOT KNOWN,GOOD
28,Mulbagal Rural PS,0021/2024,04-02-2024,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,02-03-2024,19:30,Kantharaj circle,Rural,NH,T/W,AUTO,40,,,,,,,,28,,Yes,Yes,Good
29,Mulbagal Rural PS,0022/2024,05-02-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,02-04-2024,20:30,seegenahalli Fire Station Oposit,Rural,NH,T/W,CAR,,,,,60,,,,,,Yes,Yes,Good
30,Mulbagal Rural PS,0035/2024,29-02-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14-02-2024,19:40,Meltayaluru,Rural,SH,T/W,T/W,,,,,34,,,,,,Yes,Yes,Good
31,Mulbagal Town PS,0020/2024,01-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,30-01-2024,22:00,NEAR WELCOM HOTEL ,URBAN,NH,T/W,TEMPO,,,,,,,,,,,NOT KNOWN,NOT KNOWN,GOOD
32,Mulbagal Town PS,0021/2024,05-02-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,05-02-2024,10:45,"NEAR PLASTIC FACTORY, NUGALABAMNDE",URBAN,TOWN,,PRIVATE BUS,32,,,,,,,,30,,YES,YES,GOOD
33,Mulbagal Town PS,0023/2024,09-02-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-02-2024,11:20,NEAR NARASIMHA TEERTHA,URBAN,NH,,UN KNOWN,,,,,,,0,75,,,NOT KNOWN,NOT KNOWN,GOOD
34,Mulbagal Town PS,0024/2024,10-02-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,10-02-2024,07:35,"BHAGATH SING ROAD,MULBAGAL TOWN",URBAN,TOWN,,AUTO,,,,,,,,49,38,,YES,YES,GOOD
35,Mulbagal Town PS,0026/2024,13-02-2024,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,12-02-2024,20.35,IN FRONT OF INDIAN PALACE,URBAN,TOWN,T/W,UN KNOWN,75,,,,,,,,,,NOT KNOWN,NOT KNOWN,GOOD
36,Mulbagal Town PS,0031/2024,20-02-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,20-02-2024,12:00,TAYALURU CROSS,URBAN,NH,T/W,CAR,,,,,53,46,,,,,NOT KNOWN,NOT KNOWN,GOOD
37,Mulbagal Town PS,0032/2024,24-02-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,23-02-2024,14:00,TAYALURU CROSS,URBAN,NH,T/W,CAR,,,,,45,,,,,,NOT KNOWN,NOT KNOWN,GOOD
38,Nangli PS,0019/2024,03-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16-12-2023,14:15,"Narayanapura Gate, N.Vaddahalli- Punganuru Road,",RURAL,SH,T/W,Auto,,,,,62,,,,,,YES,YES,GOOD
39,Nangli PS,0021/2024,04-02-2024,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-02-2024,20:30,Nangli Village,RURAL,NH,T/W,T/W,,,28,,,,,,,,YES,YES,GOOD
40,Nangli PS,0028/2024,16-02-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12-02-2024,22:30,JSR Toll,RURAL,NH,,CAR,45,,,,,,,,,,YES,YES,GOOD
41,Nangli PS,0030/2024,22-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,21-02-2024,17:30,"Halekuppa Gate, ",RURAL,NH,T/W,CAR,,,,,25,,,,,,YES,YES,GOOD
42,Srinivasapura PS,0041/2024,05-02-2024,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,04-02-2024,22:20,NEAR JUICE FACTORY CHINTAMANI MAIN ROAD STRINIVASAPURA TALUK,RURAL,NH,T/W,UN KNOWN,40,,,,,,,,,,YES,YES,GOOD
43,Srinivasapura PS,0049/2024,17-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-02-2024,19.15,NEAR SHETTIHALLI  VILLAGE GATE CHINTAMANI ROAD SRINIVASAPURA TALUK,RURAL,NH,T/W,UN KNOWN,,,,,30     35,,,,,,NOT KNOWN,NOT KNOWN,GOOD
44,Srinivasapura PS,0052/2024,26-02-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,25-02-2024,18:00,NEAR KALLURU VILLAGE GATE SRINIVASAPURA TALUK,RURAL,NH,T/W,T/W,24,,,,,,,,28,,YES,YES,GOOD
45,Vemagal PS,0021/2024,05-02-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,04-02-2024,10:30,Near Lakshmisagara U Turn,Rural,NH,T/W,TEMPO,,,,,24,,,,51,,Yes,Yes,Good
46,Vemagal PS,0023/2024,08-02-2024,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,24-01-2024,17:15,Narasapura village,Rural,V/R,,TEMPO,,,,,50,,,,25,,Yes,NO,Good
47,Vemagal PS,0031/2024,21-02-2024,"IPC 1860 U/s: 338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,20-02-2024,16:30,"Near Sports Office, NH-75 road, Narasapura",Rural,NH,T/W,AUTO,,,,28               34,,,,,22,,Yes,Yes,Good
48,Gownapalli PS,0009/2025,12-02-2024,"IPC 1860 U/s: 337,280",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,10-02-2024,13:30,Thadigol Village,RURAL ,SH ,T/W,T/W,,,,,22.61904762,,57.68306011,,26.74324324,,NOT KNOWN,YES ,GOOD 
1,Gownapalli PS,0014/2024,02-03-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,.02.03.2024,.06.30.AM ,Near Kappalli village,RURAL ,SH ,T/E ,CAR ,35,,,,,,,,1,,YES ,YES ,GOOD 
2,Gownapalli PS,0015/2024,06-03-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,.06.03.2024,.11.50 AM ,Near Avaganapalli village,RURAL ,SH ,CAR ,CAR ,42,,,,,,,,1,,YES ,YES ,GOOD 
3,Gownapalli PS,0019/2024,31-03-2024,"IPC 1860 U/s: 279,304A",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,31.03.2024,01.35 AM ,Near Gopalli Cross Madanapalli to Bangalore Road,RURAL ,SH ,T/W,CAR,38/50,,,,,,,,1,,YES ,YES ,GOOD 
4,Kolar Rural PS,0094/2024,01-03-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29.02.2024,7.15 PM,BETHANI GATE,RURAL,NH,T/W,LORRY,33,,,,,,,,36,,YES,YES,GOOD
5,Kolar Rural PS,0096/2024,04-03-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03.03.2024,10.45 AM,VADAGUR GATE,RURAL,NH,T/W,CAR,,,,,29,,,,33,,YES,YES,GOOD
6,Kolar Rural PS,0108/2024,13-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,13.03.2024,2.30 PM,BELAGANAHALLI  GATE,RURAL,NH,CAR,LORRY,,,,,56,,,,44,,YES,YES,GOOD
7,Kolar Rural PS,0110/2024,16-03-2024,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,11.03.2024,2.00 PM,VEERAPURA GATE,RURAL,SH,T/W,SELF,,,50,,,,,,30,,YES,YES,GOOD
8,Kolar Rural PS,0112/2024,21-03-2024,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,30.02.2024,9.15 PM,VEERAPURA GATE,RURAL,SH,CAR,LORRY,,,,,29,,,,UNKNOWN,,UNKNOWN,UNKNOWN,GOOD
9,Kolar Rural PS,0114/2024,23-03-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,22.03.2024,7.45 PM,KENDATTI GATE,RURAL,NH,EAICHER,SELF,32,,,,,,,,45,,YES,YES,GOOD
10,Kolar Rural PS,0121/2024,31-03-2024,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.02.2024,11.30 AM,KENDATTI GATE,RURAL,NH,T/W,CAR,,,30,,,,,,28,,YES,YES,GOOD
11,Kolar Traffic PS,0020/2024,14-03-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13-03-2024,15.00HRS,MANIGATTA CROSS.KOLAR,URBAN,DR,T/W,T/W,34,,,,,,,,53,-,YES,YES,GOOD
12,Kolar Traffic PS,0021/2024,17-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-03-2024,10.30HRS,GULPET PS NEAR.KOLAR,URBAN,DR,PEDASTRIAN,AUTO,,,,,58,,,,,,,,GOOD
13,Kolar Traffic PS,0022/2024,21-03-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,20-03-2024,10.30HRS,CLOCK TOWER.KOLAR.,URBAN,DR,T/W,T/W,,,,,,40,,,,,YES,YES,GOOD
14,Kolar Traffic PS,0023/2024,23-03-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Places,23-03-2024,07.15HRS,APMC MARKET KOLAR.,URBAN,DR,PEDASTRIAN,T/W,70,,,,,,,,53,,YES,YES,GOOD
15,Kolar Traffic PS,0024/2024,24-03-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,23-03-2024,22.30HRS,MALUR FLY OVER KOLAR.,URBAN,DR, T/W,CAR,,,,,41,,,,,,YES,YES,GOOD
16,Kolar Traffic PS,0028/2024,27-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,28-03-2024,16.00HRS,LAKSHMI BAR BANGALORE -CHENNIAIH ROAD.KOLAR,URBAN,NH75,CAR,CAR,,,,,54,,,,51,,YES,YES,GOOD
17,Kolar Traffic PS,0031/2024,31-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,31-03-2024,09.45HRS,BASAVANTHA GATE.NH-754KOLAR,URBAN,NH75,T/W,BOLERO,,,,,45,,,,,,YES,YES,GOOD
18,Kolar Traffic PS,0032/2024,31-03-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,31-03-2024,16.00HRS,REP.HACRARES.KOLAR,URBAN,DR,T/W,BOLERO,,,,,20,,,,=,,YES,YES,GOOD
19,Malur PS,0041/2024,04-03-2024,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,04-03-2024,08:20 HRS,Honda studiem malur town,URBAN,DR,T/W,lorry,22,,,,,35,        ,,35,,WITH DL  ,WITH INSURANCE ,GOOD
20,Malur PS,0042/2024,05-03-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,25-02-2024,09:30HRS,Jagadenahalli malur taluk,RURAL,VR,T/W,,78,,,,,,,,78,,WITH DL  ,WITH INSURANCE ,GOOD
21,Malur PS,0044/2024,07-03-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,06-03-2024,08:15 hrs,Buvanahalli cross near malur tekal road malur taluk,RURAL,VR,T/W,lorry,26  27,,,,,,,,32,,WITH DL  ,WITH INSURANCE ,CLOUDY
22,Malur PS,0045/2024,07-03-2024,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,06-03-2024,13:40 HRS,chikkakadathur near,RURAL,VR,Car,,,,,,,,,,40,,WITH DL  ,WITH INSURANCE ,GOOD
23,Malur PS,0048/2024,08-03-2024,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,29-02-2024,05-30 HRS,BEO office malur town,URBAN,DR,,CAR,,,,,60,,,,32,,WITH DL  ,WITH INSURANCE ,GOOD
24,Malur PS,0052/2024,11-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13-03-2024,11:35 HRS,Ambedkar school near malur dn  road malur taluk,RURAL,VR,T/W,ace,,,,,40,,,,32,,WITH DL  ,WITH INSURANCE ,GOOD
25,Malur PS,0053/2024,15-03-2024,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15-03-2024,05:40 HRS,Baguru sonnahalli cross malur taluk,RURAL,VR,T/W,lorry,36,,,,,,,,40,,WITH DL  ,WITH INSURANCE ,GOOD
26,Malur PS,0055/2024,16-03-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16-03-2024,03:45 HRS,Byrasandra lake malur taluk,RURAL,VR,,car,22,,,,,,,,22,,WITH DL  ,WITH INSURANCE ,GOOD
27,Malur PS,0056/2024,16-03-2024,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-02-2024,05:00 HRS,Hosahalli village kolar malur road malur taluk,RURAL,DR,Bullero,lorry,,,36,,,,,,29,,WITH DL  ,WITH INSURANCE ,GOOD
28,Malur PS,0057/2024,17-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,14-03-2024,14:00 HRS,Santhe mydana malur town,URBAN,DR,,lorry,,,20,,,,,,32,,WITH DL  ,WITH INSURANCE ,GOOD
29,Malur PS,0059/2024,19-03-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-03-2024,15:00 HRS,Patalamma temple kadadenahalli malur,RURAL,VR,T/W,Bullero,,,,,64,,,,25,,WITH DL  ,WITH INSURANCE ,GOOD
30,Malur PS,0060/2024,21-03-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,11-03-2024,09:50 HRS,Hondafactory karinayakanahalli malur taluk,RURAL,VR,T/W,lorry,,,28,,,,,,32,,WITH DL  ,WITH INSURANCE ,CLOUDY
31,Malur PS,0063/2024,22-03-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,22-03-2024,13:30 HRS,Lakkasandra village chikkathirupathi road malur taluk,RURAL,VR,T/W,CAR,,,,,28,80,,,34,,WITH DL  ,WITH INSURANCE ,GOOD
32,Masti PS,0055/2024,13-03-2024,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-02-2024,17-35,TEKAL VILLAGE ,RURAL,SH,CAR,T/W,-,,-,-,-,-,-,-,-,-,-,-,GOOD
33,Masti PS,0059/2024,26-03-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,24-03-2024,15-00,"MASTHI VILLAGE, ",RURAL,SH,T/W,TATA ACC,-,-,-,-,"23,30.26",-,-,-,-,-,-,-,GOOD
34,Mulbagal Rural PS,0037/2024,04-03-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-03-2024,20-00HRS,Sonnavadi,Rural,OR,T/W,Car,,,,,39,,,,,,Yes,Yes,Good
35,Mulbagal Rural PS,0040/2024,09-03-2024,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,03-08-2024,16-30HRS,Devarayasamudra gate,Rural,NH,T/W,T/W,33,,,,,,,,,,Yes,Yes,Good
36,Mulbagal Rural PS,0041/2024,10-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-09-2024,16-30HRS,Kammadatti,Rural,NH,TW,CAR,,,,,34,35,,,45,,Yes,Yes,Good
37,Mulbagal Rural PS,0042/2024,11-03-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-08-2024,07-30HRS,Sangasandra,Rural,OR,TW,Crane,,,,,"25, 12",,,,38,,Yes,Yes,Good
38,Mulbagal Rural PS,0043/2024,12-03-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,03-11-2024,13-30HRS,In Bitveen Khadripura & Manchiganahalli,Rural,MDR,TW,Tataace,,,,,46,,,,,,Yes,Yes,Good
39,Mulbagal Rural PS,0044/2024,13-03-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13-03-2024,15-15 to 15-30HRS,Sangasandra,Rural,OR,TW,Tataace,,,,,"34, 32",,,,,,Yes,Yes,Good
40,Mulbagal Rural PS,0050/2024,19-03-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,19-03-2024,17-00HRS,Mopurahalli,Rural,NH,TW,self,35,,,,,,,,,,Yes,Yes,Good
41,Mulbagal Rural PS,0063/2024,30-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,30-03-2024,11-00HRS,Kantharaj circle,Rural,NH,TW,tractor,,,,,21,,,,,,Yes,Yes,Good
42,Mulbagal Town PS,0038/2024,18-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,15.03.2024,20.30 HRS,"TAYALURU CROSS, NH 75",URBAN,NH,MARUTHI BREZZA CAR,TRACTOR,-,-,-,-,38,-,-,-,-,,-,YES,GOOD
43,Mulbagal Town PS,0044/2024,22-03-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,21.03.2024,23.30 HRS,"TAYALURU CROSS, NH 75",URBAN,NH,TWO WHEELER,LORRY,26,-,,,,,-,,-,,,YES,GOOD
44,Mulbagal Town PS,0045/2024,22-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,21.03.2024,19.45 hrs,"RMC YARD, MULBAGAL TOWN",URBAN,TOWN,BULLET TWO WHEELER,PULSUR BIKE,-,-,-,-,23,-,-,-,-,-,,,GOOD
45,Mulbagal Town PS,0046/2024,23-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,23.03.2024,9.30 HRS,"NEAR SST STEAL MART, MULBAGAL TOWN",URBAN,TOWN,FZ TWO WHEELER,TRACTOR,-,-,-,-,19,,-,,-,-,YES,YES,GOOD
46,Nangli PS,0038/2024,16-03-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,14.03.2024.,5:00 PM,"Battuvarahalli Village, Mulabagal Taluk",RURAL,Village Road.,-,Two Wheeler,35,-,-,-,-,-,-,-,-,-,No,YES,GOOD
47,Nangli PS,0039/2024,17-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.03.2024.,16:30 PM,"Halekuppa Gate, ",RURAL,NH-75 ROAD,-,CAR,-,70,-,-,-,-,-,-,-,-,YES,YES,GOOD
48,Nangli PS,0041/2024,21-03-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19.03.2024.,20:30 PM,N. Vaddahalli Gate.,RURAL,NH-75 ROAD,-,Unknown,-,-,-,-,56,-,-,-,-,-,Not Known,No,GOOD
49,Rayalpad PS,0022/2024,04-03-2024,"IPC 1860 U/s: 279,304A",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,03-03-2024,19:50,Madarankapalli Cross,Rural,SH 82,KA07X4339,KA04MZ5791,35,0,-,-,,-,,-,-,-,yes,yes,Good
50,Srinivasapura PS,0053/2024,01-03-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,29-02-2024,15.20 HR,NEAR SHIVAPURA CROSS KOLAR ROAD SRINIVASAPURA TALUK,RURAL,SH,CAR,BUS,-,-,-,-,-,55,-,-,-,,YES,YES,"GOOD,"
51,Srinivasapura PS,0054/2024,02-03-2024,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,01-03-2024,20.30 HRS,NEAR HEBATTA VILLAGE GATE SRINIVASAPURA TALUK,RURAL,SH,TWO WHEELER,-,60,,,,-,,,,-,,-,-,"GOOD,"
